Champion,Pos,GP,P%,B%,W%,CTR%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,GOLD%,WPM,WCPM,Cluster,PC1,PC2,Pos_Color,Presence,Meta_Tier
Smolder,Middle,2,2.5,2.5,50.0,100.0,6.5,4.5,6.5,2.9,78.8,18.8,0.0,101.0,-42.0,13.0,8.8,28.3,1011.0,35.0,28.4,0.45,0.21,3,3.1308883194161083,-0.6971278180916162,2,5.0,C
Soraka,Support,1,1.3,0.0,0.0,100.0,0.0,2.0,2.0,1.0,66.7,13.3,0.0,63.0,285.0,5.0,0.9,1.1,191.0,5.8,7.7,1.55,0.16,2,-3.711285287486765,-1.1257446540934404,4,1.3,C
Swain,Middle,1,1.3,0.0,0.0,100.0,3.0,5.0,5.0,1.6,80.0,23.8,0.0,69.0,-309.0,1.0,8.1,24.6,653.0,28.5,26.0,0.48,0.11,1,1.3096447839607994,-1.829328973488218,2,1.3,C
Sylas,Middle,4,5.0,2.5,0.0,75.0,2.25,4.0,4.25,1.6,56.5,19.8,0.0,-268.0,-475.0,-8.3,8.3,26.3,519.0,22.5,21.9,0.25,0.3,1,0.6203125257222909,-1.8584275216061277,2,7.5,C
Syndra,Middle,3,3.8,1.3,33.0,100.0,3.6666666666666665,2.6666666666666665,7.333333333333333,4.1,73.3,22.2,67.0,107.0,-105.0,1.0,8.0,24.7,631.0,26.3,22.2,0.35,0.22,1,1.1939378137177898,0.18100775512038858,2,5.1,C
Tahm Kench,Support,1,1.3,0.0,0.0,100.0,0.0,4.0,6.0,1.5,75.0,23.5,100.0,-205.0,-425.0,-2.0,0.9,0.9,193.0,8.2,8.3,1.65,0.13,2,-4.54624370390951,-0.8960602693986811,4,1.3,C
Taliyah,Middle,22,27.5,22.5,50.0,55.0,2.909090909090909,2.5454545454545454,8.5,4.5,72.3,17.6,23.0,-127.0,-89.0,-2.4,8.8,26.6,700.0,25.8,23.1,0.48,0.22,1,1.3399932325780184,0.29563113715640527,2,50.0,A
Thresh,Support,1,1.3,0.0,0.0,100.0,0.0,3.0,2.0,0.7,50.0,21.4,0.0,-58.0,-556.0,-1.0,0.9,0.7,76.0,5.0,8.6,1.57,0.2,2,-4.2831866298183705,-2.36684805538411,4,1.3,C
Trundle,Jungle,17,21.3,15.0,59.0,47.0,3.0,2.0,7.705882352941177,5.4,77.4,16.6,35.0,-135.0,-162.0,-2.5,6.7,20.1,403.0,14.6,20.3,0.35,0.5,1,-0.5014229465729086,1.3334000968473303,1,36.3,A
Varus,ADC,13,16.3,3.8,77.0,38.0,4.6923076923076925,1.8461538461538463,8.153846153846153,7.0,70.5,14.7,15.0,-44.0,-123.0,2.1,9.1,28.0,942.0,31.2,24.3,0.47,0.37,3,2.4629060849480084,1.2875253698607214,3,20.1,B
Vayne,ADC,2,2.5,0.0,50.0,100.0,7.5,2.5,8.5,6.4,76.2,20.8,100.0,-154.0,175.0,-6.0,8.9,28.9,836.0,26.7,26.8,0.35,0.43,3,2.2253423153690375,1.8532684323749216,3,2.5,C
